Country Name,Country Code,Region,IncomeGroup,Year,Life Expectancy World Bank,Prevelance of Undernourishment,CO2,Health Expenditure %,Education Expenditure %,Unemployment,Corruption,Sanitation,Injuries,Communicable,NonCommunicable
Afghanistan,AFG,South Asia,Low income,2001,56.308,47.8,730.0,,,10.8090000152588,,,2179727.1,9689193.7,5795426.38
Angola,AGO,Sub-Saharan Africa,Lower middle income,2001,47.059,67.5,15960.0,4.48351622,,4.00400018692017,,,1392080.71,11190210.53,2663516.34
Albania,ALB,Europe & Central Asia,Upper middle income,2001,74.288,4.9,3230.0,7.13952398,3.45869994163513,18.5750007629395,,40.52089533,117081.67,140894.78,532324.75
Andorra,AND,Europe & Central Asia,High income,2001,,,520.0,5.86593914,,,,21.78866006,1697.99,695.56,13636.64
United Arab Emirates,ARE,Middle East & North Africa,High income,2001,74.544,2.8,97200.0,2.48437047,,2.49300003051758,,,144678.14,65271.91,481740.7
Argentina,ARG,Latin America & Caribbean,Upper middle income,2001,73.755,3.0,125260.0,8.37179756,4.833740234375,17.3199996948242,,48.05399554,1397676.07,1507068.98,8070909.52
Armenia,ARM,Europe & Central Asia,Upper middle income,2001,71.8,26.1,3600.0,4.64562702,2.46943998336792,10.9119997024536,,46.35189576,103371.75,122238.13,767916.19
American Samoa,ASM,East Asia & Pacific,Upper middle income,2001,,,,,,,,,1683.98,2933.98,10752.13
Antigua and Barbuda,ATG,Latin America & Caribbean,High income,2001,74.171,,350.0,5.43587589,,,,,2201.12,3279.72,14289.69
Australia,AUS,East Asia & Pacific,High income,2001,79.63414634146342,2.5,345640.0,7.69622898,,6.73999977111816,,58.78889399,612233.81,208282.73,4158052.86
Austria,AUT,Europe & Central Asia,High income,2001,78.57560975609756,2.5,67910.0,9.26942921,5.57547998428345,4.01000022888184,,99.67939917,240208.86,77701.17,2101883.59
Azerbaijan,AZE,Europe & Central Asia,Upper middle income,2001,67.054,17.0,26400.0,2.75590682,3.50342011451721,10.9099998474121,,19.59669997,235307.74,904186.52,1816141.16
Burundi,BDI,Sub-Saharan Africa,Low income,2001,49.93,,200.0,6.40484381,2.90390992164612,1.58700001239777,,,1285727.05,5085323.13,1088354.56
Belgium,BEL,Europe & Central Asia,High income,2001,77.97317073170734,2.5,118340.0,8.14988804,,6.17999982833862,,73.84454522,393056.61,160341.77,2708304.31
Benin,BEN,Sub-Saharan Africa,Lower middle income,2001,55.668,17.2,1740.0,3.24910021,2.36509990692139,0.771000027656555,,,285885.2,4179251.5,1180016.78
Burkina Faso,BFA,Sub-Saharan Africa,Low income,2001,50.893,22.6,970.0,2.88835382,,2.64800000190735,,,536392.74,10193782.66,2395728.15
Bangladesh,BGD,South Asia,Lower middle income,2001,65.956,15.9,25780.0,2.06375051,2.17193007469177,3.61700010299683,,18.73700671,5106399.34,29348014.24,20529108.23
Bulgaria,BGR,Europe & Central Asia,Upper middle income,2001,71.76829268292684,4.0,46190.0,6.85958767,3.38423991203308,19.9200000762939,,50.83995755,379598.55,184936.84,3126551.07
Bahrain,BHR,Middle East & North Africa,High income,2001,74.635,,16390.0,3.68104196,,1.10800004005432,,69.38425755,19519.46,15096.19,105084.33
Bosnia and Herzegovina,BIH,Europe & Central Asia,Upper middle income,2001,74.637,3.2,13760.0,7.27702522,,26.6140003204346,,17.60289939,137886.58,75029.92,985953.75
Belarus,BLR,Europe & Central Asia,Upper middle income,2001,68.50731707317074,2.5,51880.0,5.70827103,,11.5539999008179,,84.22060135,843472.15,221301.07,3630110.19
Belize,BLZ,Latin America & Caribbean,Upper middle income,2001,69.04,5.8,530.0,4.63241482,5.79692983627319,9.06999969482422,,,14723.49,19427.42,38687.31
Bermuda,BMU,North America,High income,2001,77.88536585365854,,,,,,,,1268.17,1587.9,13589.33
Bolivia,BOL,Latin America & Caribbean,Lower middle income,2001,63.054,27.9,8050.0,4.82522202,,2.48499989509583,,28.91301607,427941.6,1592197.06,1578651.87
Brazil,BRA,Latin America & Caribbean,Upper middle income,2001,70.462,10.7,319380.0,8.54960632,3.84468007087708,9.60999965667725,,36.16762407,9266898.86,13885996.63,36221436.41
Barbados,BRB,Latin America & Caribbean,High income,2001,77.362,6.4,1310.0,5.52529192,6.05536985397339,9.85000038146973,,,6656.3,11832.75,60831.22
